Dataset ID,Width,Height,Count,Proportion,Notes
DS0004,512,512,600,0.200000,stratified_sample_n=3000_seed=42
DS0004,1024,1024,569,0.189667,stratified_sample_n=3000_seed=42
DS0004,256,256,300,0.100000,stratified_sample_n=3000_seed=42
DS0004,1360,896,177,0.059000,stratified_sample_n=3000_seed=42
DS0004,4928,3264,166,0.055333,stratified_sample_n=3000_seed=42
DS0004,1792,2304,85,0.028333,stratified_sample_n=3000_seed=42
DS0004,2304,1792,77,0.025667,stratified_sample_n=3000_seed=42
DS0004,2688,1536,77,0.025667,stratified_sample_n=3000_seed=42
DS0004,2048,2048,61,0.020333,stratified_sample_n=3000_seed=42
DS0004,4288,2848,54,0.018000,stratified_sample_n=3000_seed=42
DS0004,896,1360,52,0.017333,stratified_sample_n=3000_seed=42
DS0004,3264,4928,48,0.016000,stratified_sample_n=3000_seed=42
DS0004,1344,896,44,0.014667,stratified_sample_n=3000_seed=42
DS0004,1472,704,33,0.011000,stratified_sample_n=3000_seed=42
DS0004,1792,1024,32,0.010667,stratified_sample_n=3000_seed=42
DS0004,1600,640,31,0.010333,stratified_sample_n=3000_seed=42
DS0004,1088,896,31,0.010333,stratified_sample_n=3000_seed=42
DS0004,2848,4288,30,0.010000,stratified_sample_n=3000_seed=42
DS0004,896,1152,30,0.010000,stratified_sample_n=3000_seed=42
DS0004,1728,576,28,0.009333,stratified_sample_n=3000_seed=42
DS0004,896,1088,28,0.009333,stratified_sample_n=3000_seed=42
DS0004,768,1280,28,0.009333,stratified_sample_n=3000_seed=42
DS0004,896,1344,27,0.009000,stratified_sample_n=3000_seed=42
DS0004,960,1024,27,0.009000,stratified_sample_n=3000_seed=42
DS0004,1280,768,27,0.009000,stratified_sample_n=3000_seed=42
DS0004,768,1344,26,0.008667,stratified_sample_n=3000_seed=42
DS0004,1344,704,25,0.008333,stratified_sample_n=3000_seed=42
DS0004,1344,768,25,0.008333,stratified_sample_n=3000_seed=42
DS0004,1408,704,25,0.008333,stratified_sample_n=3000_seed=42
DS0004,832,1216,24,0.008000,stratified_sample_n=3000_seed=42
DS0004,704,1408,23,0.007667,stratified_sample_n=3000_seed=42
DS0004,1024,1792,20,0.006667,stratified_sample_n=3000_seed=42
DS0004,1152,832,20,0.006667,stratified_sample_n=3000_seed=42
DS0004,704,1344,20,0.006667,stratified_sample_n=3000_seed=42
DS0004,1664,576,19,0.006333,stratified_sample_n=3000_seed=42
DS0004,1088,960,19,0.006333,stratified_sample_n=3000_seed=42
DS0004,960,1088,18,0.006000,stratified_sample_n=3000_seed=42
DS0004,1024,960,17,0.005667,stratified_sample_n=3000_seed=42
DS0004,832,1152,17,0.005667,stratified_sample_n=3000_seed=42
DS0004,1216,832,16,0.005333,stratified_sample_n=3000_seed=42
DS0004,1536,640,15,0.005000,stratified_sample_n=3000_seed=42
DS0004,1152,896,7,0.002333,stratified_sample_n=3000_seed=42
DS0004,3008,2000,2,0.000667,stratified_sample_n=3000_seed=42
