Dataset ID,Metric,Value,Notes
DS0005,scanned_images,97698,
DS0005,corrupt_count,0,
DS0005,corrupt_rate,0.000000,corrupt / scanned_images
DS0005,empty_files,0,
DS0005,unsupported_format,0,
DS0005,duplicate_hash_groups,158,
DS0005,width_min,224,
DS0005,width_max,224,
DS0005,width_mean,224.00,
DS0005,height_min,224,
DS0005,height_max,224,
DS0005,height_mean,224.00,
DS0005,aspect_ratio_min,1.0000,width/height
DS0005,aspect_ratio_max,1.0000,width/height
DS0005,aspect_ratio_mean,1.0000,width/height
DS0005,format_histogram,"{""JPEG"": 97698}",
DS0005,mode_histogram,"{""RGB"": 97698}",
DS0005,archives_scanned,0,
DS0005,roots_scanned,1,/kaggle/input/datasets/isthisdeception/ds0005-fairface/raw/DS0005/fairface-img-margin025-trainval
DS0005,label_csvs,2,"fairface_label_train.csv,fairface_label_val.csv"
DS0005,built_utc,2026-08-07T15:13:34.016693+00:00,Phase D6
DS0005,threshold_pass,yes,ok
