processed_path,relative_path,partition,class_label,generator,identity,content_hash
images/train/1.png,train/1.jpg,train,real,none,,53a2f4883fab88a167ce39002b103374bb650d762c4082d497688386b6ed6ffe
images/train/10.png,train/10.jpg,val,real,none,,3b1a086ca87ef56576af8c7269a5579dde2d29782e3ab89a6fc0a08e692d552f
images/train/100.png,train/100.jpg,train,real,none,,a93aae3058cd2ec16bffee0ea19bcea2a04cf607bd71790e4b2d861cff64de6f
images/train/1000.png,train/1000.jpg,train,real,none,,e67eebefe2ee9b70c321155e0b0a4700520c9e4d974c0fa36e8ae437a03b2a63
images/train/10000.png,train/10000.jpg,test,real,none,,8f15a716ff512656a6abbc1a988c4e3d4801f172c7d32fc7ce450c83c140111e
images/train/10001.png,train/10001.jpg,train,real,none,,f92125d13cacf751d049633c74774b2ce8ec08eb5822e253bf8c81f99def8cc6
images/train/10002.png,train/10002.jpg,train,real,none,,9fb3e53ddeda255e02b3182bd19501731131a7ae86eef4296d01276400384e46
images/train/10003.png,train/10003.jpg,val,real,none,,85c006f947cbac527557c405e8b70ae314b2e5198f46d379579900d5c90f7383
images/train/10004.png,train/10004.jpg,train,real,none,,875065bb3235f942328d7ce062dd9e9aec5e72fddd5f5fd40a84adbe936c9aef
images/train/10005.png,train/10005.jpg,train,real,none,,c6b2322f43fa6586d3e440fb06bce16c31ee4e765e7536d51fe65b3248f4bf89
images/train/10006.png,train/10006.jpg,train,real,none,,64cc6c973b401408b72bba3b9ee90a83eea83d5bf06cca6b4e68ca64f3f541d7
images/train/10007.png,train/10007.jpg,test,real,none,,9569b3802cf79563207c71a9c6ff3eb0af0cf48e85721af1c1ef691f816b5eef
images/train/10008.png,train/10008.jpg,test,real,none,,aa610da020c4684441c0308f5c5a25361625960ca2fb91586ef27de86b78c848
images/train/10009.png,train/10009.jpg,train,real,none,,9c4e48f2e99ffebd7f9a3a1944e7b1c8ec2c8d65d4f76711d58e04abeca8d3d5
images/train/1001.png,train/1001.jpg,train,real,none,,3c66ff7819cbc10246d642f6e5f60dd2cfabcdd1ae64cbac56de852e02b3cf7c
images/train/10010.png,train/10010.jpg,train,real,none,,2545eb511d86bcadfccf95c2daa6986d41f5b46790809036717c387323ef5662
images/train/10011.png,train/10011.jpg,val,real,none,,4f4fd541bbe1cfd1bd28e65d4a7d51b069cd3a6b13dbfa5289adb5e37a72e20a
