processed_path,relative_path,partition,class_label,generator,identity,content_hash
images/dalle2/r000da54ft.png,dalle2/r000da54ft.png,train,fake,dalle2,r000da54ft,067c49b5385a9ae3ffb008c60456285dc208d7706919949d882ea920dc0c5554
images/dalle2/r001d260dt.png,dalle2/r001d260dt.png,train,fake,dalle2,r001d260dt,6b62551069ffa1bc64192ae2a84c381d4bea796e08582726ba262628ed0cfa91
images/dalle2/r002fc3e2t.png,dalle2/r002fc3e2t.png,train,fake,dalle2,r002fc3e2t,94b59b743c05e58448fba269826eebb72b6ee88bd9c37549fd779e923be540ed
images/dalle2/r00444b95t.png,dalle2/r00444b95t.png,train,fake,dalle2,r00444b95t,a825f881f1dd3697a7c207ed43ad14df67135db0f6a8e3259bf2ebcf2483b5fd
images/dalle2/r005f3e70t.png,dalle2/r005f3e70t.png,train,fake,dalle2,r005f3e70t,136a66de59814cf349ad27c1fb6b086e1efc2116858f18126231c2e8ef513144
images/dalle2/r00617aa1t.png,dalle2/r00617aa1t.png,train,fake,dalle2,r00617aa1t,f252ed7848f0c388685ad926795cac8ff9898c9de0d2eb3388ac54cd17b935ba
images/dalle2/r00679daet.png,dalle2/r00679daet.png,train,fake,dalle2,r00679daet,2b91c8b9f4db9ecb7a2648268fd19460b28b3deca19f18deae195763a6856f62
images/dalle2/r006b0e4bt.png,dalle2/r006b0e4bt.png,train,fake,dalle2,r006b0e4bt,fdf1aaa821ec20feaa5f4463b133df451112da38e6fece9e927f054982f5c841
images/dalle2/r006fcc20t.png,dalle2/r006fcc20t.png,train,fake,dalle2,r006fcc20t,596370742a7b2d37cfb95b70b3a17730e9d4036f116cc9237fa19c08904d99dd
images/dalle2/r007f5116t.png,dalle2/r007f5116t.png,test,fake,dalle2,r007f5116t,1eb8e44c1052a4769b8ec1785d370a80dd30875fe4e5015f45feaee006442f41
images/dalle2/r00816405t.png,dalle2/r00816405t.png,test,fake,dalle2,r00816405t,60154b88c8a2cd351b9df6c9990e75b9df96676d2b5c0e733f4d15ebbae0996d
images/dalle2/r00869422t.png,dalle2/r00869422t.png,train,fake,dalle2,r00869422t,4bf9ecf8ee07da25bf9bfe6e303038ad4caa15ff3ad3a92914fc1a6ed0666d27
images/dalle2/r00879054t.png,dalle2/r00879054t.png,train,fake,dalle2,r00879054t,92656fe7c3cf6fb46ae3159d96b8c0b89830a7f08a4a81ebcaa03be49fba9216
images/dalle2/r008a2095t.png,dalle2/r008a2095t.png,train,fake,dalle2,r008a2095t,da047f832084ecf47c6b6e54c503961bdcfcf3f463235d8d292dfa874fffd3d3
images/dalle2/r008ed083t.png,dalle2/r008ed083t.png,val,fake,dalle2,r008ed083t,b2e0bdae040f335aa6145ac45e71344dca6ffaccfc7a4ac4cffd96bb6a9e64a8
images/dalle2/r00a940e1t.png,dalle2/r00a940e1t.png,train,fake,dalle2,r00a940e1t,96acc5df2cd13614b66b84d05422190e30af30a60944fe8f7e0b0023f3eb60e8
images/dalle2/r00b3931bt.png,dalle2/r00b3931bt.png,train,fake,dalle2,r00b3931bt,b849c4b9a8fd407ab0e6a864526addc4189885fc3dfb4dd15be60b609454e452
images/dalle2/r00b8d4a2t.png,dalle2/r00b8d4a2t.png,train,fake,dalle2,r00b8d4a2t,00e405bf6862cc35e69578f408cc9247606f896a7b6690ee62577df97892370d
images/dalle2/r00c0995ft.png,dalle2/r00c0995ft.png,train,fake,dalle2,r00c0995ft,123d09a8c362fd43ff332ceb05e42cd77eabae8cf4ce0e8384383f9f4c7332e8
images/dalle2/r00c4a543t.png,dalle2/r00c4a543t.png,train,fake,dalle2,r00c4a543t,a00ae2d5bfff5bc4715b616538078900be47ebe3667823da4f6448283f4c602c
images/dalle2/r00d161b7t.png,dalle2/r00d161b7t.png,test,fake,dalle2,r00d161b7t,9e3011267e72b1257283878f69d475e2b5e7b86f66f3ed1016cba3141c6cac56
images/dalle2/r00de2590t.png,dalle2/r00de2590t.png,train,fake,dalle2,r00de2590t,d7dc34735dc50068325a31e60bcabe116c565ddeab9d69eeec177e3a9df20ca5
images/dalle2/r01058910t.png,dalle2/r01058910t.png,train,fake,dalle2,r01058910t,3f6250c25877ed16c62e1aaaa62c30086b29939139d8eb0622484699bbb9a3c5
images/dalle2/r0108c383t.png,dalle2/r0108c383t.png,train,fake,dalle2,r0108c383t,55d0b1ab56d33e1712c31a1ae9b662ae3d05b1585a984ab3fffb8701ed2db640
images/dalle2/r010cb248t.png,dalle2/r010cb248t.png,train,fake,dalle2,r010cb248t,953bfd85fd7c53b0cace4911db633402af02529474e5d05b85c31b496c97fe9a
images/dalle2/r01170470t.png,dalle2/r01170470t.png,train,fake,dalle2,r01170470t,ef0443db256396c8621d2adba5009eb9b93b823eb9d936bec1652ffd3d65e8ad
images/dalle2/r01291f20t.png,dalle2/r01291f20t.png,val,fake,dalle2,r01291f20t,9571926c815c2f60fdcce6feffa66c42633e04e0d8c0438dbd7501d051ca82ad
images/dalle2/r01292fd8t.png,dalle2/r01292fd8t.png,val,fake,dalle2,r01292fd8t,bf2601af0994093db5525778c7fc1b610093f4a6241f766d7977d4408e324c9b
images/dalle2/r012b0f30t.png,dalle2/r012b0f30t.png,train,fake,dalle2,r012b0f30t,5aa1a818dba949d077c4bc5810a56387287d1912df99c6f21fcd4b19a58daba2
images/dalle2/r012d1dbet.png,dalle2/r012d1dbet.png,train,fake,dalle2,r012d1dbet,21c4d2bc38ed5fdd7a7e1c5567232316ccb4a2b474ac123863868bfecde650e8
images/dalle2/r0141f0c9t.png,dalle2/r0141f0c9t.png,train,fake,dalle2,r0141f0c9t,bd0db7b99a920470073a3bf4267969999e28106a9b22edabb717a6a2da05b0fd
images/dalle2/r01474187t.png,dalle2/r01474187t.png,train,fake,dalle2,r01474187t,33fa70cdae00ffa3a5b949e5a47c2b32e9089f0d4e2af00518ee811c02410c18
images/dalle2/r0149a21ct.png,dalle2/r0149a21ct.png,test,fake,dalle2,r0149a21ct,ebee566f812cb7fc688e772790d63c815d4947939ed93810e1ea71e074c569c0
images/dalle2/r0150031ft.png,dalle2/r0150031ft.png,val,fake,dalle2,r0150031ft,6bdaaa379f5c98ea97151ccef2454d1beb00315a5bacd226ca4a83a1f34966f0
images/dalle2/r01511e3et.png,dalle2/r01511e3et.png,test,fake,dalle2,r01511e3et,70459865e08fea153fef2014c267c999a78194017421bfb27881b457860884d2
images/dalle2/r01559391t.png,dalle2/r01559391t.png,test,fake,dalle2,r01559391t,c8b0724dc26684a933383dea18bb79b54f7bb9fda204e5650a5c6bc3fb76d6f7
images/dalle2/r015b453ft.png,dalle2/r015b453ft.png,test,fake,dalle2,r015b453ft,acd47e1e8cd9578b75fa144f20a3f712774310e9581a4ecfb95906b5b7a31558
images/dalle2/r0176fbcat.png,dalle2/r0176fbcat.png,train,fake,dalle2,r0176fbcat,18473a8e70f8c652cf35f46db6b36f0ece999aeba02fc12219f3af84d081088c
