Dataset ID,Generator,Class,Condition,Count,Proportion,Notes
DS0001,none,real,,25000,0.500000,
DS0001,stylegan2,fake,,1924,0.038480,
DS0001,cips,fake,,1923,0.038460,
DS0001,face_synthetics,fake,,1923,0.038460,
DS0001,gansformer,fake,,1923,0.038460,
DS0001,lama,fake,,1923,0.038460,
DS0001,mat,fake,,1923,0.038460,
DS0001,projected_gan,fake,,1923,0.038460,
DS0001,sfhq,fake,,1923,0.038460,
DS0001,stable_diffusion,fake,,1923,0.038460,
DS0001,stargan,fake,,1923,0.038460,
DS0001,stylegan1,fake,,1923,0.038460,
DS0001,stylegan3,fake,,1923,0.038460,
DS0001,taming_transformer,fake,,1923,0.038460,
